Unnamed: 0	enumeration	enumeration_description
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region Mountain
in.ahs_region	Non-CBSA New England	American Housing Survey region New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region West South Central
in.aiannh_area	No	The sample is not located in American Indian/Alaska Native/Native Hawaiian Area
in.aiannh_area	Yes	The sample is located in American Indian/Alaska Native/Native Hawaiian Area
in.area_median_income	0-30%	Area median income of the household occupying the dwelling unit is 0-30%
in.area_median_income	100-120%	Area median income of the household occupying the dwelling unit is 100-120%
in.area_median_income	120-150%	Area median income of the household occupying the dwelling unit is 120-150%
in.area_median_income	150%+	Area median income of the household occupying the dwelling unit is 150%+
in.area_median_income	30-60%	Area median income of the household occupying the dwelling unit is 30-60%
in.area_median_income	60-80%	Area median income of the household occupying the dwelling unit is 60-80%
in.area_median_income	80-100%	Area median income of the household occupying the dwelling unit is 80-100%
in.area_median_income	Not Available	Area median income of the household occupying the dwelling unit is Not Available
in.ashrae_iecc_climate_zone_2004	1A	IECC Climate Zone 1A
in.ashrae_iecc_climate_zone_2004	2A	IECC Climate Zone 2A
in.ashrae_iecc_climate_zone_2004	2B	IECC Climate Zone 2B
in.ashrae_iecc_climate_zone_2004	3A	IECC Climate Zone 3A
in.ashrae_iecc_climate_zone_2004	3B	IECC Climate Zone 3B
in.ashrae_iecc_climate_zone_2004	3C	IECC Climate Zone 3C
in.ashrae_iecc_climate_zone_2004	4A	IECC Climate Zone 4A
in.ashrae_iecc_climate_zone_2004	4B	IECC Climate Zone 4B
in.ashrae_iecc_climate_zone_2004	4C	IECC Climate Zone 4C
in.ashrae_iecc_climate_zone_2004	5A	IECC Climate Zone 5A
in.ashrae_iecc_climate_zone_2004	5B	IECC Climate Zone 5B
in.ashrae_iecc_climate_zone_2004	6A	IECC Climate Zone 6A
in.ashrae_iecc_climate_zone_2004	6B	IECC Climate Zone 6B
in.ashrae_iecc_climate_zone_2004	7A	IECC Climate Zone 7A
in.ashrae_iecc_climate_zone_2004	7B	IECC Climate Zone 7B
in.ashrae_iecc_climate_zone_2004_2_a_split	1A	IECC Climate Zone where 2A is split: 1A
in.ashrae_iecc_climate_zone_2004_2_a_split	"2A - FL, GA, AL, MS"	"IECC Climate Zone where 2A is split: 2A down selected to FL, GA, AL, MS"
in.ashrae_iecc_climate_zone_2004_2_a_split	"2A - TX, LA"	"IECC Climate Zone where 2A is split: 2A down selected to TX, LA"
in.ashrae_iecc_climate_zone_2004_2_a_split	2B	IECC Climate Zone where 2A is split: 2B
in.ashrae_iecc_climate_zone_2004_2_a_split	3A	IECC Climate Zone where 2A is split: 3A
in.ashrae_iecc_climate_zone_2004_2_a_split	3B	IECC Climate Zone where 2A is split: 3B
in.ashrae_iecc_climate_zone_2004_2_a_split	3C	IECC Climate Zone where 2A is split: 3C
in.ashrae_iecc_climate_zone_2004_2_a_split	4A	IECC Climate Zone where 2A is split: 4A
in.ashrae_iecc_climate_zone_2004_2_a_split	4B	IECC Climate Zone where 2A is split: 4B
in.ashrae_iecc_climate_zone_2004_2_a_split	4C	IECC Climate Zone where 2A is split: 4C
in.ashrae_iecc_climate_zone_2004_2_a_split	5A	IECC Climate Zone where 2A is split: 5A
in.ashrae_iecc_climate_zone_2004_2_a_split	5B	IECC Climate Zone where 2A is split: 5B
in.ashrae_iecc_climate_zone_2004_2_a_split	6A	IECC Climate Zone where 2A is split: 6A
in.ashrae_iecc_climate_zone_2004_2_a_split	6B	IECC Climate Zone where 2A is split: 6B
in.ashrae_iecc_climate_zone_2004_2_a_split	7A	IECC Climate Zone where 2A is split: 7A
in.ashrae_iecc_climate_zone_2004_2_a_split	7B	IECC Climate Zone where 2A is split: 7B
in.bathroom_spot_vent_hour	Hour0	"Bathroom spot ventilation occurs at hour 0, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour1	"Bathroom spot ventilation occurs at hour 1, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour10	"Bathroom spot ventilation occurs at hour 10, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour11	"Bathroom spot ventilation occurs at hour 11, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour12	"Bathroom spot ventilation occurs at hour 12, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour13	"Bathroom spot ventilation occurs at hour 13, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour14	"Bathroom spot ventilation occurs at hour 14, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour15	"Bathroom spot ventilation occurs at hour 15, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour16	"Bathroom spot ventilation occurs at hour 16, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour17	"Bathroom spot ventilation occurs at hour 17, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour18	"Bathroom spot ventilation occurs at hour 18, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour19	"Bathroom spot ventilation occurs at hour 19, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour2	"Bathroom spot ventilation occurs at hour 2, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour20	"Bathroom spot ventilation occurs at hour 20, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour21	"Bathroom spot ventilation occurs at hour 21, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour22	"Bathroom spot ventilation occurs at hour 22, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour23	"Bathroom spot ventilation occurs at hour 23, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour3	"Bathroom spot ventilation occurs at hour 3, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour4	"Bathroom spot ventilation occurs at hour 4, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour5	"Bathroom spot ventilation occurs at hour 5, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour6	"Bathroom spot ventilation occurs at hour 6, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour7	"Bathroom spot ventilation occurs at hour 7, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour8	"Bathroom spot ventilation occurs at hour 8, and lasts for 1 hour"
in.bathroom_spot_vent_hour	Hour9	"Bathroom spot ventilation occurs at hour 9, and lasts for 1 hour"
in.battery		No battery in the housing unit
in.bedrooms	1	1 bedroom in housing unit
in.bedrooms	2	2 bedroom in housing unit
in.bedrooms	3	3 bedroom in housing unit
in.bedrooms	4	4 bedroom in housing unit
in.bedrooms	5	5 bedroom in housing unit
in.building_america_climate_zone	Cold	Building America climate zone Cold
in.building_america_climate_zone	Hot-Dry	Building America climate zone Hot-Dry
in.building_america_climate_zone	Hot-Humid	Building America climate zone Hot-Humid
in.building_america_climate_zone	Marine	Building America climate zone Marine
in.building_america_climate_zone	Mixed-Dry	Building America climate zone Mixed-Dry
in.building_america_climate_zone	Mixed-Humid	Building America climate zone Mixed-Humid
in.building_america_climate_zone	Very Cold	Building America climate zone Very Cold
in.cec_climate_zone	1	California Energy Code climate zone 1
in.cec_climate_zone	10	California Energy Code climate zone 10
in.cec_climate_zone	11	California Energy Code climate zone 11
in.cec_climate_zone	12	California Energy Code climate zone 12
in.cec_climate_zone	13	California Energy Code climate zone 13
in.cec_climate_zone	14	California Energy Code climate zone 14
in.cec_climate_zone	15	California Energy Code climate zone 15
in.cec_climate_zone	16	California Energy Code climate zone 16
in.cec_climate_zone	2	California Energy Code climate zone 2
in.cec_climate_zone	3	California Energy Code climate zone 3
in.cec_climate_zone	4	California Energy Code climate zone 4
in.cec_climate_zone	5	California Energy Code climate zone 5
in.cec_climate_zone	6	California Energy Code climate zone 6
in.cec_climate_zone	7	California Energy Code climate zone 7
in.cec_climate_zone	8	California Energy Code climate zone 8
in.cec_climate_zone	9	California Energy Code climate zone 9
in.cec_climate_zone		No California Energy Code climate zone
in.ceiling_fan		No ceiling fan
in.ceiling_fan	Standard Efficiency	42.6 W power consumption per fan at medium speed
in.ceiling_fan	"Standard Efficiency, No usage"	Standard efficiency fan applied but not used
in.census_division	East North Central	East North Central 2010 U.S. Census Division
in.census_division	East South Central	East South Central 2010 U.S. Census Division
in.census_division	Middle Atlantic	Middle Atlantic 2010 U.S. Census Division
in.census_division	Mountain	Mountain 2010 U.S. Census Division
in.census_division	New England	New England 2010 U.S. Census Division
in.census_division	Pacific	Pacific 2010 U.S. Census Division
in.census_division	South Atlantic	South Atlantic 2010 U.S. Census Division
in.census_division	West North Central	West North Central 2010 U.S. Census Division
in.census_division	West South Central	West South Central 2010 U.S. Census Division
in.census_division_recs	East North Central	East North Central Census Division as used in RECS 2015
in.census_division_recs	East South Central	East South Central Census Division as used in RECS 2015
in.census_division_recs	Middle Atlantic	Middle Atlantic Census Division as used in RECS 2015
in.census_division_recs	Mountain North	Mountain North Census Division as used in RECS 2015
in.census_division_recs	Mountain South	Mountain South Census Division as used in RECS 2015
in.census_division_recs	New England	New England Census Division as used in RECS 2015
in.census_division_recs	Pacific	Pacific Census Division as used in RECS 2015
in.census_division_recs	South Atlantic	South Atlantic Census Division as used in RECS 2015
in.census_division_recs	West North Central	West North Central Census Division as used in RECS 2015
in.census_division_recs	West South Central	West South Central Census Division as used in RECS 2015
in.census_region	Midwest	Midwest 2010 U.S. Census Division
in.census_region	Northeast	Northeast 2010 U.S. Census Division
in.census_region	South	South 2010 U.S. Census Division
in.census_region	West	West 2010 U.S. Census Division
in.city	"AL, Auburn"	"AL, Auburn census-designated city"
in.city	"AL, Birmingham"	"AL, Birmingham census-designated city"
in.city	"AL, Decatur"	"AL, Decatur census-designated city"
in.city	"AL, Dothan"	"AL, Dothan census-designated city"
in.city	"AL, Florence"	"AL, Florence census-designated city"
in.city	"AL, Gadsden"	"AL, Gadsden census-designated city"
in.city	"AL, Hoover"	"AL, Hoover census-designated city"
in.city	"AL, Huntsville"	"AL, Huntsville census-designated city"
in.city	"AL, Madison"	"AL, Madison census-designated city"
in.city	"AL, Mobile"	"AL, Mobile census-designated city"
in.city	"AL, Montgomery"	"AL, Montgomery census-designated city"
in.city	"AL, Phenix City"	"AL, Phenix City census-designated city"
in.city	"AL, Tuscaloosa"	"AL, Tuscaloosa census-designated city"
in.city	"AR, Bentonville"	"AR, Bentonville census-designated city"
in.city	"AR, Conway"	"AR, Conway census-designated city"
in.city	"AR, Fayetteville"	"AR, Fayetteville census-designated city"
in.city	"AR, Fort Smith"	"AR, Fort Smith census-designated city"
in.city	"AR, Hot Springs"	"AR, Hot Springs census-designated city"
in.city	"AR, Jonesboro"	"AR, Jonesboro census-designated city"
in.city	"AR, Little Rock"	"AR, Little Rock census-designated city"
in.city	"AR, North Little Rock"	"AR, North Little Rock census-designated city"
in.city	"AR, Pine Bluff"	"AR, Pine Bluff census-designated city"
in.city	"AR, Rogers"	"AR, Rogers census-designated city"
in.city	"AR, Springdale"	"AR, Springdale census-designated city"
in.city	"AZ, Apache Junction"	"AZ, Apache Junction census-designated city"
in.city	"AZ, Avondale"	"AZ, Avondale census-designated city"
in.city	"AZ, Buckeye"	"AZ, Buckeye census-designated city"
in.city	"AZ, Bullhead City"	"AZ, Bullhead City census-designated city"
in.city	"AZ, Casa Grande"	"AZ, Casa Grande census-designated city"
in.city	"AZ, Casas Adobes"	"AZ, Casas Adobes census-designated city"
in.city	"AZ, Catalina Foothills"	"AZ, Catalina Foothills census-designated city"
in.city	"AZ, Chandler"	"AZ, Chandler census-designated city"
in.city	"AZ, Flagstaff"	"AZ, Flagstaff census-designated city"
in.city	"AZ, Fortuna Foothills"	"AZ, Fortuna Foothills census-designated city"
in.city	"AZ, Gilbert"	"AZ, Gilbert census-designated city"
in.city	"AZ, Glendale"	"AZ, Glendale census-designated city"
in.city	"AZ, Goodyear"	"AZ, Goodyear census-designated city"
in.city	"AZ, Green Valley"	"AZ, Green Valley census-designated city"
in.city	"AZ, Lake Havasu City"	"AZ, Lake Havasu City census-designated city"
in.city	"AZ, Marana"	"AZ, Marana census-designated city"
in.city	"AZ, Maricopa"	"AZ, Maricopa census-designated city"
in.city	"AZ, Mesa"	"AZ, Mesa census-designated city"
in.city	"AZ, Oro Valley"	"AZ, Oro Valley census-designated city"
in.city	"AZ, Peoria"	"AZ, Peoria census-designated city"
in.city	"AZ, Phoenix"	"AZ, Phoenix census-designated city"
in.city	"AZ, Prescott"	"AZ, Prescott census-designated city"
in.city	"AZ, Prescott Valley"	"AZ, Prescott Valley census-designated city"
in.city	"AZ, San Tan Valley"	"AZ, San Tan Valley census-designated city"
in.city	"AZ, Scottsdale"	"AZ, Scottsdale census-designated city"
in.city	"AZ, Sierra Vista"	"AZ, Sierra Vista census-designated city"
in.city	"AZ, Sun City"	"AZ, Sun City census-designated city"
in.city	"AZ, Sun City West"	"AZ, Sun City West census-designated city"
in.city	"AZ, Surprise"	"AZ, Surprise census-designated city"
in.city	"AZ, Tempe"	"AZ, Tempe census-designated city"
in.city	"AZ, Tucson"	"AZ, Tucson census-designated city"
in.city	"AZ, Yuma"	"AZ, Yuma census-designated city"
in.city	"CA, Alameda"	"CA, Alameda census-designated city"
in.city	"CA, Alhambra"	"CA, Alhambra census-designated city"
in.city	"CA, Aliso Viejo"	"CA, Aliso Viejo census-designated city"
in.city	"CA, Altadena"	"CA, Altadena census-designated city"
in.city	"CA, Anaheim"	"CA, Anaheim census-designated city"
in.city	"CA, Antioch"	"CA, Antioch census-designated city"
in.city	"CA, Apple Valley"	"CA, Apple Valley census-designated city"
in.city	"CA, Arcadia"	"CA, Arcadia census-designated city"
in.city	"CA, Arden-Arcade"	"CA, Arden-Arcade census-designated city"
in.city	"CA, Bakersfield"	"CA, Bakersfield census-designated city"
in.city	"CA, Baldwin Park"	"CA, Baldwin Park census-designated city"
in.city	"CA, Bellflower"	"CA, Bellflower census-designated city"
in.city	"CA, Berkeley"	"CA, Berkeley census-designated city"
in.city	"CA, Beverly Hills"	"CA, Beverly Hills census-designated city"
in.city	"CA, Brea"	"CA, Brea census-designated city"
in.city	"CA, Brentwood"	"CA, Brentwood census-designated city"
in.city	"CA, Buena Park"	"CA, Buena Park census-designated city"
in.city	"CA, Burbank"	"CA, Burbank census-designated city"
in.city	"CA, Camarillo"	"CA, Camarillo census-designated city"
in.city	"CA, Campbell"	"CA, Campbell census-designated city"
in.city	"CA, Carlsbad"	"CA, Carlsbad census-designated city"
in.city	"CA, Carmichael"	"CA, Carmichael census-designated city"
in.city	"CA, Carson"	"CA, Carson census-designated city"
in.city	"CA, Castro Valley"	"CA, Castro Valley census-designated city"
in.city	"CA, Cathedral City"	"CA, Cathedral City census-designated city"
in.city	"CA, Cerritos"	"CA, Cerritos census-designated city"
in.city	"CA, Chico"	"CA, Chico census-designated city"
in.city	"CA, Chino"	"CA, Chino census-designated city"
in.city	"CA, Chino Hills"	"CA, Chino Hills census-designated city"
in.city	"CA, Chula Vista"	"CA, Chula Vista census-designated city"
in.city	"CA, Citrus Heights"	"CA, Citrus Heights census-designated city"
in.city	"CA, Clovis"	"CA, Clovis census-designated city"
in.city	"CA, Colton"	"CA, Colton census-designated city"
in.city	"CA, Compton"	"CA, Compton census-designated city"
in.city	"CA, Concord"	"CA, Concord census-designated city"
in.city	"CA, Corona"	"CA, Corona census-designated city"
in.city	"CA, Costa Mesa"	"CA, Costa Mesa census-designated city"
in.city	"CA, Covina"	"CA, Covina census-designated city"
in.city	"CA, Culver City"	"CA, Culver City census-designated city"
in.city	"CA, Cupertino"	"CA, Cupertino census-designated city"
in.city	"CA, Cypress"	"CA, Cypress census-designated city"
in.city	"CA, Daly City"	"CA, Daly City census-designated city"
in.city	"CA, Dana Point"	"CA, Dana Point census-designated city"
in.city	"CA, Danville"	"CA, Danville census-designated city"
in.city	"CA, Davis"	"CA, Davis census-designated city"
in.city	"CA, Diamond Bar"	"CA, Diamond Bar census-designated city"
in.city	"CA, Downey"	"CA, Downey census-designated city"
in.city	"CA, Dublin"	"CA, Dublin census-designated city"
in.city	"CA, East Los Angeles"	"CA, East Los Angeles census-designated city"
in.city	"CA, El Cajon"	"CA, El Cajon census-designated city"
in.city	"CA, El Dorado Hills"	"CA, El Dorado Hills census-designated city"
in.city	"CA, El Monte"	"CA, El Monte census-designated city"
in.city	"CA, Elk Grove"	"CA, Elk Grove census-designated city"
in.city	"CA, Encinitas"	"CA, Encinitas census-designated city"
in.city	"CA, Escondido"	"CA, Escondido census-designated city"
in.city	"CA, Fairfield"	"CA, Fairfield census-designated city"
in.city	"CA, Florence-Graham"	"CA, Florence-Graham census-designated city"
in.city	"CA, Florin"	"CA, Florin census-designated city"
in.city	"CA, Folsom"	"CA, Folsom census-designated city"
in.city	"CA, Fontana"	"CA, Fontana census-designated city"
in.city	"CA, Fountain Valley"	"CA, Fountain Valley census-designated city"
in.city	"CA, Fremont"	"CA, Fremont census-designated city"
in.city	"CA, Fresno"	"CA, Fresno census-designated city"
in.city	"CA, Fullerton"	"CA, Fullerton census-designated city"
in.city	"CA, Garden Grove"	"CA, Garden Grove census-designated city"
in.city	"CA, Gardena"	"CA, Gardena census-designated city"
in.city	"CA, Gilroy"	"CA, Gilroy census-designated city"
in.city	"CA, Glendale"	"CA, Glendale census-designated city"
in.city	"CA, Glendora"	"CA, Glendora census-designated city"
in.city	"CA, Hacienda Heights"	"CA, Hacienda Heights census-designated city"
in.city	"CA, Hanford"	"CA, Hanford census-designated city"
in.city	"CA, Hawthorne"	"CA, Hawthorne census-designated city"
in.city	"CA, Hayward"	"CA, Hayward census-designated city"
in.city	"CA, Hemet"	"CA, Hemet census-designated city"
in.city	"CA, Hesperia"	"CA, Hesperia census-designated city"
in.city	"CA, Highland"	"CA, Highland census-designated city"
in.city	"CA, Huntington Beach"	"CA, Huntington Beach census-designated city"
in.city	"CA, Huntington Park"	"CA, Huntington Park census-designated city"
in.city	"CA, Indio"	"CA, Indio census-designated city"
in.city	"CA, Inglewood"	"CA, Inglewood census-designated city"
in.city	"CA, Irvine"	"CA, Irvine census-designated city"
in.city	"CA, La Habra"	"CA, La Habra census-designated city"
in.city	"CA, La Mesa"	"CA, La Mesa census-designated city"
in.city	"CA, La Quinta"	"CA, La Quinta census-designated city"
in.city	"CA, Laguna Niguel"	"CA, Laguna Niguel census-designated city"
in.city	"CA, Lake Elsinore"	"CA, Lake Elsinore census-designated city"
in.city	"CA, Lake Forest"	"CA, Lake Forest census-designated city"
in.city	"CA, Lakewood"	"CA, Lakewood census-designated city"
in.city	"CA, Lancaster"	"CA, Lancaster census-designated city"
in.city	"CA, Lincoln"	"CA, Lincoln census-designated city"
in.city	"CA, Livermore"	"CA, Livermore census-designated city"
in.city	"CA, Lodi"	"CA, Lodi census-designated city"
in.city	"CA, Long Beach"	"CA, Long Beach census-designated city"
in.city	"CA, Los Angeles"	"CA, Los Angeles census-designated city"
in.city	"CA, Lynwood"	"CA, Lynwood census-designated city"
in.city	"CA, Madera"	"CA, Madera census-designated city"
in.city	"CA, Manhattan Beach"	"CA, Manhattan Beach census-designated city"
in.city	"CA, Manteca"	"CA, Manteca census-designated city"
in.city	"CA, Martinez"	"CA, Martinez census-designated city"
in.city	"CA, Menifee"	"CA, Menifee census-designated city"
in.city	"CA, Merced"	"CA, Merced census-designated city"
in.city	"CA, Milpitas"	"CA, Milpitas census-designated city"
in.city	"CA, Mission Viejo"	"CA, Mission Viejo census-designated city"
in.city	"CA, Modesto"	"CA, Modesto census-designated city"
in.city	"CA, Montebello"	"CA, Montebello census-designated city"
in.city	"CA, Monterey Park"	"CA, Monterey Park census-designated city"
in.city	"CA, Moreno Valley"	"CA, Moreno Valley census-designated city"
in.city	"CA, Mountain View"	"CA, Mountain View census-designated city"
in.city	"CA, Murrieta"	"CA, Murrieta census-designated city"
in.city	"CA, Napa"	"CA, Napa census-designated city"
in.city	"CA, National City"	"CA, National City census-designated city"
in.city	"CA, Newport Beach"	"CA, Newport Beach census-designated city"
in.city	"CA, North Highlands"	"CA, North Highlands census-designated city"
in.city	"CA, Norwalk"	"CA, Norwalk census-designated city"
in.city	"CA, Novato"	"CA, Novato census-designated city"
in.city	"CA, Oakland"	"CA, Oakland census-designated city"
in.city	"CA, Oceanside"	"CA, Oceanside census-designated city"
in.city	"CA, Ontario"	"CA, Ontario census-designated city"
in.city	"CA, Orange"	"CA, Orange census-designated city"
in.city	"CA, Oxnard"	"CA, Oxnard census-designated city"
in.city	"CA, Palm Desert"	"CA, Palm Desert census-designated city"
in.city	"CA, Palm Springs"	"CA, Palm Springs census-designated city"
in.city	"CA, Palmdale"	"CA, Palmdale census-designated city"
in.city	"CA, Palo Alto"	"CA, Palo Alto census-designated city"
in.city	"CA, Pasadena"	"CA, Pasadena census-designated city"
in.city	"CA, Perris"	"CA, Perris census-designated city"
in.city	"CA, Petaluma"	"CA, Petaluma census-designated city"
in.city	"CA, Pico Rivera"	"CA, Pico Rivera census-designated city"
in.city	"CA, Pittsburg"	"CA, Pittsburg census-designated city"
in.city	"CA, Placentia"	"CA, Placentia census-designated city"
in.city	"CA, Pleasanton"	"CA, Pleasanton census-designated city"
in.city	"CA, Pomona"	"CA, Pomona census-designated city"
in.city	"CA, Porterville"	"CA, Porterville census-designated city"
in.city	"CA, Poway"	"CA, Poway census-designated city"
in.city	"CA, Rancho Cordova"	"CA, Rancho Cordova census-designated city"
in.city	"CA, Rancho Cucamonga"	"CA, Rancho Cucamonga census-designated city"
in.city	"CA, Rancho Palos Verdes"	"CA, Rancho Palos Verdes census-designated city"
in.city	"CA, Rancho Santa Margarita"	"CA, Rancho Santa Margarita census-designated city"
in.city	"CA, Redding"	"CA, Redding census-designated city"
in.city	"CA, Redlands"	"CA, Redlands census-designated city"
in.city	"CA, Redondo Beach"	"CA, Redondo Beach census-designated city"
in.city	"CA, Redwood City"	"CA, Redwood City census-designated city"
in.city	"CA, Rialto"	"CA, Rialto census-designated city"
in.city	"CA, Richmond"	"CA, Richmond census-designated city"
in.city	"CA, Riverside"	"CA, Riverside census-designated city"
in.city	"CA, Rocklin"	"CA, Rocklin census-designated city"
in.city	"CA, Rohnert Park"	"CA, Rohnert Park census-designated city"
in.city	"CA, Rosemead"	"CA, Rosemead census-designated city"
in.city	"CA, Roseville"	"CA, Roseville census-designated city"
in.city	"CA, Rowland Heights"	"CA, Rowland Heights census-designated city"
in.city	"CA, Sacramento"	"CA, Sacramento census-designated city"
in.city	"CA, Salinas"	"CA, Salinas census-designated city"
in.city	"CA, San Bernardino"	"CA, San Bernardino census-designated city"
in.city	"CA, San Bruno"	"CA, San Bruno census-designated city"
in.city	"CA, San Buenaventura Ventura"	"CA, San Buenaventura Ventura census-designated city"
in.city	"CA, San Clemente"	"CA, San Clemente census-designated city"
in.city	"CA, San Diego"	"CA, San Diego census-designated city"
in.city	"CA, San Francisco"	"CA, San Francisco census-designated city"
in.city	"CA, San Jose"	"CA, San Jose census-designated city"
in.city	"CA, San Leandro"	"CA, San Leandro census-designated city"
in.city	"CA, San Luis Obispo"	"CA, San Luis Obispo census-designated city"
in.city	"CA, San Marcos"	"CA, San Marcos census-designated city"
in.city	"CA, San Mateo"	"CA, San Mateo census-designated city"
in.city	"CA, San Rafael"	"CA, San Rafael census-designated city"
in.city	"CA, San Ramon"	"CA, San Ramon census-designated city"
in.city	"CA, Santa Ana"	"CA, Santa Ana census-designated city"
in.city	"CA, Santa Barbara"	"CA, Santa Barbara census-designated city"
in.city	"CA, Santa Clara"	"CA, Santa Clara census-designated city"
in.city	"CA, Santa Clarita"	"CA, Santa Clarita census-designated city"
in.city	"CA, Santa Cruz"	"CA, Santa Cruz census-designated city"
in.city	"CA, Santa Maria"	"CA, Santa Maria census-designated city"
in.city	"CA, Santa Monica"	"CA, Santa Monica census-designated city"
in.city	"CA, Santa Rosa"	"CA, Santa Rosa census-designated city"
in.city	"CA, Santee"	"CA, Santee census-designated city"
in.city	"CA, Simi Valley"	"CA, Simi Valley census-designated city"
in.city	"CA, South Gate"	"CA, South Gate census-designated city"
in.city	"CA, South Lake Tahoe"	"CA, South Lake Tahoe census-designated city"
in.city	"CA, South San Francisco"	"CA, South San Francisco census-designated city"
in.city	"CA, South Whittier"	"CA, South Whittier census-designated city"
in.city	"CA, Stockton"	"CA, Stockton census-designated city"
in.city	"CA, Sunnyvale"	"CA, Sunnyvale census-designated city"
in.city	"CA, Temecula"	"CA, Temecula census-designated city"
in.city	"CA, Thousand Oaks"	"CA, Thousand Oaks census-designated city"
in.city	"CA, Torrance"	"CA, Torrance census-designated city"
in.city	"CA, Tracy"	"CA, Tracy census-designated city"
in.city	"CA, Tulare"	"CA, Tulare census-designated city"
in.city	"CA, Turlock"	"CA, Turlock census-designated city"
in.city	"CA, Tustin"	"CA, Tustin census-designated city"
in.city	"CA, Union City"	"CA, Union City census-designated city"
in.city	"CA, Upland"	"CA, Upland census-designated city"
in.city	"CA, Vacaville"	"CA, Vacaville census-designated city"
in.city	"CA, Vallejo"	"CA, Vallejo census-designated city"
in.city	"CA, Victorville"	"CA, Victorville census-designated city"
in.city	"CA, Visalia"	"CA, Visalia census-designated city"
in.city	"CA, Vista"	"CA, Vista census-designated city"
in.city	"CA, Walnut Creek"	"CA, Walnut Creek census-designated city"
in.city	"CA, West Covina"	"CA, West Covina census-designated city"
in.city	"CA, West Hollywood"	"CA, West Hollywood census-designated city"
